,name,percent,category,produce,supply,img_url,580
29,왕율주 25,25.0%,전통 소주,농업회사법인 (합)사곡양조원,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%A1%E1%84%80%E1%85%A9%E1%86%A8%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%8C%E1%85%A9%E1%84%8B%E1%85%AF%E1%86%AB_%E1%84%8B%E1%85%AA%E1%86%BC%E1%84%8B%E1%85%B2%E1%86%AF%E1%84%8C%E1%85%AE%E1%84%87%E1%85%A1%E1%86%B7_25_330.png,
30,로아 레드 40,40.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%EB%A1%9C%EC%95%84_%EB%A0%88%EB%93%9C_40.png,
31,로아 레드 19,19.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%EB%A1%9C%EC%95%84_%EB%A0%88%EB%93%9C_19.png,
32,로아 퍼플 40,40.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%EB%A1%9C%EC%95%84_%ED%8D%BC%ED%94%8C_40.png,
33,로아 퍼플 19,19.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%EB%A1%9C%EC%95%84_%ED%8D%BC%ED%94%8C_19.png,
34,무작 53,53.0%,전통 소주,전통주조 예술,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A8%E1%84%89%E1%85%AE%E1%86%AF_%E1%84%86%E1%85%AE%E1%84%8C%E1%85%A1%E1%86%A8_53.png,
35,필 소주,25.0%,전통 소주,농업회사법인 (주)술아원,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%AF%E1%86%AB_%E1%84%91%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE.png,
36,대복홍주 진 15호,60.0%,전통 소주,진도홍주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%83%E1%85%A9_%E1%84%92%E1%85%A9%E1%86%BC%E1%84%8C%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%AB_15%E1%84%92%E1%85%A9.png,
37,도원결의,15.0%,전통 소주,농업회사법인 (주)영덕주조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%83%E1%85%A9%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%80%E1%85%A7%E1%86%AF%E1%84%8B%E1%85%B4_1.png,
38,담솔 프리미엄,40.0%,전통 소주,명가원영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%83%E1%85%A1%E1%86%B7%E1%84%89%E1%85%A9%E1%86%AF_%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8B%E1%85%A5%E1%86%B7.png,
39,솔송주 프리미엄,40.0%,전통 소주,명가원영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%EC%86%94%EC%86%A1%EC%A3%BC_%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84.png,
40,뿌리깊은 홍삼명주,23.0%,전통 소주,농업회사법인 (주)금산인삼주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%88%E1%85%AE%E1%84%85%E1%85%B5%E1%84%80%E1%85%B5%E1%87%81%E1%84%8B%E1%85%B3%E1%86%AB%E1%84%92%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A1%E1%86%B7%E1%84%8C%E1%85%AE_23%E1%84%83%E1%85%A9_375ml.png,
41,명랑스컬,17.0%,전통 소주,더한주류,더한주류,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A7%E1%86%BC%E1%84%85%E1%85%A1%E1%86%BC%E1%84%89%E1%85%B3%E1%84%8F%E1%85%A5%E1%86%AF.png,
42,안동진맥소주 53,53.0%,전통 소주,맹개술도가,부국상사,https://assets.business.veluga.kr/media/public/%EB%A7%B9%EA%B0%9C%EC%88%A0%EB%8F%84%EA%B0%80_%EC%A7%84%EB%A7%A5%EC%86%8C%EC%A3%BC_53%EB%8F%84_500.png,
43,안동진맥소주 40,40.0%,전통 소주,맹개술도가,부국상사,https://assets.business.veluga.kr/media/public/%EB%A7%B9%EA%B0%9C%EC%88%A0%EB%8F%84%EA%B0%80_%EC%A7%84%EB%A7%A5%EC%86%8C%EC%A3%BC_40%EB%8F%84_500.png,
44,안동진맥소주 22,22.0%,전통 소주,맹개술도가,부국상사,https://assets.business.veluga.kr/media/public/%EB%A7%B9%EA%B0%9C%EC%88%A0%EB%8F%84%EA%B0%80_%EC%A7%84%EB%A7%A5%EC%86%8C%EC%A3%BC_22%EB%8F%84_375.png,
45,이강주 특 3호,25.0%,전통 소주,전주이강주,부국상사,https://assets.business.veluga.kr/media/public/%EC%A0%84%EC%A3%BC_%EC%9D%B4%EA%B0%95%EC%A3%BC_%ED%8A%B93%ED%98%B8_z2NoRfK.png,
46,이강주 2호,25.0%,전통 소주,전주이강주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%8C%E1%85%AE_%E1%84%8B%E1%85%B5%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%AE_-_2%E1%84%92%E1%85%A9_25_750ml.png,
47,이강주 5호,25.0%,전통 소주,전주이강주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%B5%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%AE_%E1%84%92%E1%85%A9%E1%84%85%E1%85%B5%E1%84%87%E1%85%A7%E1%86%BC.png,
48,문배술 용상,40.0%,전통 소주,문배술양조원,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%AE%E1%86%AB%E1%84%87%E1%85%A2%E1%84%89%E1%85%AE%E1%86%AF_%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%89%E1%85%A1%E1%86%BC.png,
49,감홍로,40.0%,전통 소주,농업회사법인 감홍로,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%A1%E1%86%B7%E1%84%92%E1%85%A9%E1%86%BC%E1%84%85%E1%85%A9_%E1%84%83%E1%85%A9%E1%84%8C%E1%85%A1%E1%84%80%E1%85%B5_700ml.png,
50,고소리술 원조,40.0%,전통 소주,제주술익는집,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%A9%E1%84%89%E1%85%A9%E1%84%85%E1%85%B5%E1%84%89%E1%85%AE%E1%86%AF_%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8C%E1%85%A9.png,
51,문배술 명작 40,40.0%,전통 소주,문배술양조원,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%AE%E1%86%AB%E1%84%87%E1%85%A2%E1%84%89%E1%85%AE%E1%86%AF_%E1%84%86%E1%85%A7%E1%86%BC%E1%84%8C%E1%85%A1%E1%86%A8.png,
52,문배술 명작 25,25.0%,전통 소주,문배술양조원,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%AE%E1%86%AB%E1%84%87%E1%85%A2%E1%84%89%E1%85%AE%E1%86%AF_%E1%84%86%E1%85%A7%E1%86%BC%E1%84%8C%E1%85%A1%E1%86%A8_oALvhHA.png,
53,해원,40.0%,전통 소주,추성고을,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%A2%E1%84%8B%E1%85%AF%E1%86%AB.png,
54,솔송주 40,40.0%,전통 소주,명가원영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%A9%E1%86%AF%E1%84%89%E1%85%A9%E1%86%BC%E1%84%8C%E1%85%AE_%E1%84%87%E1%85%A2%E1%86%A8%E1%84%8C%E1%85%A1.png,
55,명인 안동소주 45,45.0%,전통 소주,명인 안동소주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%B5%E1%86%AB_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_45.png,
56,전주 이강주 미니어처 연화주자,25.0%,전통 소주,전주이강주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%8C%E1%85%AE_%E1%84%8B%E1%85%B5%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%AE_-_%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE%E1%84%8C%E1%85%A1.png,
57,전주 이강주 미니어처 향로,25.0%,전통 소주,전주이강주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%8C%E1%85%AE_%E1%84%8B%E1%85%B5%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%AE_-_%E1%84%92%E1%85%A3%E1%86%BC%E1%84%85%E1%85%A9.png,
58,전주 이강주 3호,25.0%,전통 소주,전주이강주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%8C%E1%85%AE_%E1%84%8B%E1%85%B5%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%AE_-_%E1%84%91%E1%85%A7%E1%86%AB%E1%84%87%E1%85%A7%E1%86%BC.png,
59,전주 이강주 1호,25.0%,전통 소주,전주이강주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%8C%E1%85%AE_%E1%84%8B%E1%85%B5%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%AE25_-_%E1%84%8B%E1%85%A6%E1%84%86%E1%85%B5%E1%86%AF%E1%84%85%E1%85%A6%E1%84%8C%E1%85%A9%E1%86%BC.png,
60,명품 안동소주,45.0%,전통 소주,농업회사법인 명품안동소주(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A7%E1%86%BC%E1%84%91%E1%85%AE%E1%86%B7%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE.png,
61,양반 안동소주 3년 숙성,45.0%,전통 소주,농업회사법인 유토피아(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%87%E1%85%A1%E1%86%AB_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_3%E1%84%82%E1%85%A7%E1%86%AB_%E1%84%89%E1%85%AE%E1%86%A8%E1%84%89%E1%85%A5%E1%86%BC.png,
62,타미앙스,40.0%,전통 소주,추성고을,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%90%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%86%E1%85%A1%E1%86%BC%E1%84%89%E1%85%B3_500.png,
63,전주 이강주 25 인케이스,25.0%,전통 소주,전주이강주,부국상사,https://cdn.veluga.kr/files/supplier/42/drinks/%EC%9D%B4%EA%B0%95%EC%A3%BC25%EA%B8%B0%EC%99%80.png,
64,로아 화이트 40,40.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A9%E1%84%8B%E1%85%A1_%E1%84%92%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3_40.png,
65,로아 옐로우 40,40.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A9%E1%84%8B%E1%85%A1_%E1%84%8B%E1%85%A8%E1%86%AF%E1%84%85%E1%85%A9%E1%84%8B%E1%85%AE_40.png,
66,문배술 23,23.0%,전통 소주,문배술양조원,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%AE%E1%86%AB%E1%84%87%E1%85%A2%E1%84%89%E1%85%AE%E1%86%AF_23%E1%84%83%E1%85%A9.png,
67,문배술 25,25.0%,전통 소주,문배술양조원,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%AE%E1%86%AB%E1%84%87%E1%85%A2%E1%84%89%E1%85%AE%E1%86%AF_25%E1%84%83%E1%85%A9.png,
68,황금 보리 소주 40,40.0%,전통 소주,남한산성 소주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AA%E1%86%BC%E1%84%80%E1%85%B3%E1%86%B7_%E1%84%87%E1%85%A9%E1%84%85%E1%85%B5_%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_40.png,
69,황금 보리 소주 25,25.0%,전통 소주,남한산성 소주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AA%E1%86%BC%E1%84%80%E1%85%B3%E1%86%B7_%E1%84%87%E1%85%A9%E1%84%85%E1%85%B5_%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_25.png,
70,진도 홍주,40.0%,전통 소주,진도홍주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%83%E1%85%A9_%E1%84%92%E1%85%A9%E1%86%BC%E1%84%8C%E1%85%AE.png,
71,문배술 40,40.0%,전통 소주,문배술양조원,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%AE%E1%86%AB%E1%84%87%E1%85%A2%E1%84%89%E1%85%AE%E1%86%AF_40%E1%84%83%E1%85%A9_h2ekJe1.png,
72,명인 안동소주 35,35.0%,전통 소주,명인 안동소주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%B5%E1%86%AB_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_35.png,
73,명인 안동소주 22,22.0%,전통 소주,명인 안동소주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%B5%E1%86%AB_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_22.png,
74,양반 안동소주 하회탈 45,45.0%,전통 소주,농업회사법인 유토피아(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%87%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE%E1%84%92%E1%85%A1%E1%84%92%E1%85%AC%E1%84%90%E1%85%A1%E1%86%AF45.png,
75,양반 안동소주 하회탈 25,25.0%,전통 소주,농업회사법인 유토피아(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%87%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE%E1%84%92%E1%85%A1%E1%84%92%E1%85%AC%E1%84%90%E1%85%A1%E1%86%AF25.png,
76,추성주,25.0%,전통 소주,추성고을,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%AE%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8C%E1%85%AE_25%E1%84%83%E1%85%A9.png,
77,명품 안동소주 Feel,40.0%,전통 소주,농업회사법인 명품안동소주(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A7%E1%86%BC%E1%84%91%E1%85%AE%E1%86%B7_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_feel.png,
78,담솔,40.0%,전통 소주,명가원영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%83%E1%85%A1%E1%86%B7%E1%84%89%E1%85%A9%E1%86%AF.png,
79,명품 안동소주 19.8,19.8%,전통 소주,농업회사법인 명품안동소주(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A7%E1%86%BC%E1%84%91%E1%85%AE%E1%86%B7_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_%E1%84%82%E1%85%B3%E1%84%81%E1%85%B5%E1%86%B7_19.8.png,
80,금산 인삼주 수삼 23,23.0%,전통 소주,농업회사법인 (주)금산인삼주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%AE%E1%84%89%E1%85%A1%E1%86%B7_23%E1%84%83%E1%85%A9.png,
81,금산 인삼주 수삼 43,43.0%,전통 소주,농업회사법인 (주)금산인삼주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%AE%E1%84%89%E1%85%A1%E1%86%B7_43%E1%84%83%E1%85%A9.png,
82,추사 40,40.0%,전통 소주,농업회사법인 예산사과와인(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%AE%E1%84%89%E1%85%A1_40.png,
83,민속주 왕주 25,25.0%,전통 소주,농업회사법인 (주)민속주왕주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A9%E1%86%A8%E1%84%8C%E1%85%AE_%E1%84%8B%E1%85%AA%E1%86%BC%E1%84%8C%E1%85%AE_25.png,
84,민속주 왕주 52,52.0%,전통 소주,농업회사법인 (주)민속주왕주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A9%E1%86%A8%E1%84%8C%E1%85%AE_%E1%84%8B%E1%85%AA%E1%86%BC%E1%84%8C%E1%85%AE_52.png,
85,고소리술 40,40.0%,전통 소주,제주샘 영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%A9%E1%84%89%E1%85%A9%E1%84%85%E1%85%B5%E1%84%89%E1%85%AE%E1%86%AF_40.png,
86,고소리술 29,29.0%,전통 소주,제주샘 영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%EA%B3%A0%EC%86%8C%EB%A6%AC%EC%88%A0_29.png,
87,오메기술,13.0%,전통 소주,제주샘 영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A9%E1%84%86%E1%85%A6%E1%84%80%E1%85%B5%E1%84%89%E1%85%AE%E1%86%AF.png,
88,찾을수록 아메리카노,16.0%,전통 소주,(주)애플리즈,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A1%E1%86%BD%E1%84%8B%E1%85%B3%E1%86%AF%E1%84%89%E1%85%AE%E1%84%85%E1%85%A9%E1%86%A8_%E1%84%8B%E1%85%A1%E1%84%86%E1%85%A6%E1%84%85%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%82%E1%85%A9_jWOozdS.png,
89,찾을수록 복숭아,16.0%,전통 소주,(주)애플리즈,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A1%E1%86%BD%E1%84%8B%E1%85%B3%E1%86%AF%E1%84%89%E1%85%AE%E1%84%85%E1%85%A9%E1%86%A8_%E1%84%87%E1%85%A9%E1%86%A8%E1%84%89%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1_jZ8jO1T.png,
90,찾을수록 모스카토,16.0%,전통 소주,(주)애플리즈,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A1%E1%86%BD%E1%84%8B%E1%85%B3%E1%86%AF%E1%84%89%E1%85%AE%E1%84%85%E1%85%A9%E1%86%A8_%E1%84%86%E1%85%A9%E1%84%89%E1%85%B3%E1%84%8F%E1%85%A1%E1%84%90%E1%85%A9_QjkZTrp.png,
91,찾을수록 생강,16.0%,전통 소주,(주)애플리즈,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A1%E1%86%BD%E1%84%8B%E1%85%B3%E1%86%AF%E1%84%89%E1%85%AE%E1%84%85%E1%85%A9%E1%86%A8_%E1%84%89%E1%85%A2%E1%86%BC%E1%84%80%E1%85%A1%E1%86%BC.png,
92,찾을수록 사과,16.0%,전통 소주,(주)애플리즈,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A1%E1%86%BD%E1%84%8B%E1%85%B3%E1%86%AF%E1%84%89%E1%85%AE%E1%84%85%E1%85%A9%E1%86%A8_%E1%84%89%E1%85%A1%E1%84%80%E1%85%AA_kFHtPV0.png,
93,찾을수록 오렌지,16.0%,전통 소주,(주)애플리즈,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A1%E1%86%BD%E1%84%8B%E1%85%B3%E1%86%AF%E1%84%89%E1%85%AE%E1%84%85%E1%85%A9%E1%86%A8_%E1%84%8B%E1%85%A9%E1%84%85%E1%85%A6%E1%86%AB%E1%84%8C%E1%85%B5_baViwpT.png,
94,술샘 16,16.0%,전통 소주,농업회사법인 (주)술샘,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%AE%E1%86%AF%E1%84%89%E1%85%A2%E1%86%B7_16.png,
95,미르 25,25.0%,전통 소주,농업회사법인 (주)술샘,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%B5%E1%84%85%E1%85%B3_25.png,
96,미르 40,40.0%,전통 소주,농업회사법인 (주)술샘,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%B5%E1%84%85%E1%85%B3_40.png,
97,미르 54,54.0%,전통 소주,농업회사법인 (주)술샘,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%B5%E1%84%85%E1%85%B3_54.png,
98,로아 화이트 19,19.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A9%E1%84%8B%E1%85%A1_%E1%84%92%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3_19.png,
99,로아 옐로우 19,19.0%,전통 소주,배혜정도가,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A9%E1%84%8B%E1%85%A1_%E1%84%8B%E1%85%A8%E1%86%AF%E1%84%85%E1%85%A9%E1%84%8B%E1%85%AE_19.png,
100,한주 25,25.0%,전통 소주,한주양조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%AE25_35.png,
101,한주 35,35.0%,전통 소주,한주양조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%AE25_35_sKTuSq5.png,
102,만월 24,24.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%AF%E1%86%AF_24.png,
103,만월 40,40.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%AF%E1%86%AF_40.png,
104,화주,25.0%,전통 소주,내국양조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE.png,
105,산들벗 21,21.0%,전통 소주,농업회사법인 산들벗(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%A1%E1%86%AB%E1%84%83%E1%85%B3%E1%86%AF%E1%84%87%E1%85%A5%E1%86%BA_21.png,
106,서울의 밤,25.0%,전통 소주,더한주류,더한주류,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%A5%E1%84%8B%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B4_%E1%84%87%E1%85%A1%E1%86%B7.png,
107,예천주 럼 42,42.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A5%E1%86%B7_42.png,
108,예천주 럼 36.6,37.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A5%E1%86%B7_36.6.png,
109,예천주 럼 22,22.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A5%E1%86%B7_22.png,
110,예천주 럼 16.8,17.0%,전통 소주,농업회사법인 (주)착한농부,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%85%E1%85%A5%E1%86%B7_16.8.png,
111,안동 국화주 42,42.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE_42.png,
112,안동 국화주 32,32.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE_32.png,
113,안동 국화주 22,22.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE_22.png,
114,회곡 안동소주 42,42.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AC%E1%84%80%E1%85%A9%E1%86%A8_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_42.png,
115,회곡 안동소주 32,32.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AC%E1%84%80%E1%85%A9%E1%86%A8_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_32.png,
116,회곡 안동소주 22,22.0%,전통 소주,(주)회곡양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%AC%E1%84%80%E1%85%A9%E1%86%A8_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_22.png,
117,죽력고,25.0%,전통 소주,추성고을,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8C%E1%85%AE%E1%86%A8%E1%84%85%E1%85%A7%E1%86%A8%E1%84%80%E1%85%A9.png,
118,겨울 소주 25,25.0%,전통 소주,농업회사법인 아리랑주조(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%A7%E1%84%8B%E1%85%AE%E1%86%AF%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_25.png,
119,안동소주 일품 40,40.0%,전통 소주 증류식,안동소주일품(주),한국술유통,https://cdn.veluga.kr/files/supplier/temporary/drinks/69.%E1%84%92%E1%85%A1%E1%86%AB%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8B%E1%85%B2%E1%84%90%E1%85%A9%E1%86%BC_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BC%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%91%E1%85%AE%E1%86%B7_40.png,
